Row,Row.Numbers,Genotype,Pedigree,Treatment,date,Canopy_Coverage
2005,2005 and 2006,C103,Ames 19284,No Nitrogen,Aug20,57.58913387
2005,2005 and 2006,C103,Ames 19284,No Nitrogen,Aug23,64.40064736
2005,2005 and 2006,C103,Ames 19284,No Nitrogen,Sept5,58.96900652
2005,2005 and 2006,C103,Ames 19284,No Nitrogen,Aug22,58.07098469
2005,2005 and 2006,C103,Ames 19284,No Nitrogen,Sept1,62.22935314
2005,2005 and 2006,C103,Ames 19284,No Nitrogen,Aug14,59.22135706
2005,2005 and 2006,C103,Ames 19284,No Nitrogen,July6,28.3334572
2005,2005 and 2006,C103,Ames 19284,No Nitrogen,Aug30,76.74165661
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Sept3,69.6726886
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Aug23,80.18142607
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Aug20,69.19905661
2007,2007 and 2008,B104,PI 594047,No Nitrogen,July6,46.25046451
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Sept5,68.78149725
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Aug26,80.30617218
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Aug30,77.13672738
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Aug14,68.25891202
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Sept1,75.03237503
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Aug16,75.1859056
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Aug22,74.37181186
2007,2007 and 2008,B104,PI 594047,No Nitrogen,Aug12,81.29930289
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Aug20,62.00891806
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Sept5,55.78753532
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Aug23,73.46111151
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Aug26,73.65629645
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Sept1,62.08639845
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Aug12,70.82676718
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,July6,35.35587762
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Aug16,71.5187305
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Aug30,66.60511985
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Aug14,66.29906245
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Sept3,62.65095647
2009,2009 and 2010,H95,Ames 19319,No Nitrogen,Aug22,70.63442201
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Aug22,84.64190265
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Aug12,83.17309657
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Aug20,83.78266249
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Sept5,77.37154186
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Aug23,89.8473913
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Aug26,92.55336217
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Aug14,81.40314635
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Sept3,80.82478555
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Aug16,87.76143631
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Sept1,87.66788767
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,July6,44.30670135
2013,2013 and 2014,K55,Ames 22754,No Nitrogen,Aug30,95.38996887
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Aug30,71.08694921
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Sept3,71.58478051
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Aug26,78.80528067
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Aug14,40.4994968
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,July6,32.39737396
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Sept1,70.08143372
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Aug20,52.04730384
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Aug23,70.89931862
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Aug12,47.9138945
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Sept5,67.37020328
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Aug16,59.9255538
2015,2015 and 2016,NC250,PI 550555,No Nitrogen,Aug22,65.26288034
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Aug14,62.59070925
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Aug22,71.47851676
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Aug30,69.71223748
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Sept1,66.80524862
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Aug23,74.01839677
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Sept5,61.96886543
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Aug26,73.04812964
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Aug12,66.59778832
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Aug20,70.15926174
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Sept3,72.66984789
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,Aug16,66.5039672
2017,2017 and 2018,NC232,Ames 12732,No Nitrogen,July6,31.11804781
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Sept5,45.20047899
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Aug12,68.63189446
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Aug30,70.20747756
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Aug20,55.2874822
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Aug14,53.05312781
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Aug16,68.72755769
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,July6,45.50873281
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Sept1,69.84295166
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Sept3,49.5940443
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Aug23,74.79882039
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Aug22,68.06763175
2019,2019 and 2020,N28Ht,Ames 27138,No Nitrogen,Aug26,75.41480367
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Aug22,70.2333712
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Sept1,87.12835986
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Aug23,81.15770313
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Aug20,68.80847103
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,July6,37.18865354
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Sept3,60.26839815
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Aug30,79.86148228
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Aug12,74.87272645
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Aug26,81.7241181
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Aug16,72.59987965
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Sept5,66.52870885
2021,2021 and 2022,NC230,Ames 12731,No Nitrogen,Aug14,68.86222787
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Aug22,63.88557031
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Aug12,60.04496015
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Aug20,57.09426755
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Aug16,64.77799079
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Aug23,71.4255813
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Aug26,72.44662269
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Sept3,54.93290046
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Sept1,64.02217311
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Sept5,60.4139458
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,July6,37.35414344
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Aug14,69.78388686
2023,2023 and 2024,NC302,Ames 27147,No Nitrogen,Aug30,68.14840009
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Aug23,72.1368582
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Aug12,62.69942551
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Sept5,43.57248031
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Aug16,62.44552973
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Aug22,64.74463936
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,July6,44.82398117
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Aug14,69.20758515
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Aug26,67.65091407
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Aug20,55.22917469
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Aug30,66.17379376
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Sept3,59.2574971
2025,2025 and 2026,NC298,Ames 27261,No Nitrogen,Sept1,55.71297389
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Sept1,30.95456732
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,July6,21.81592964
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Aug12,39.27882104
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Sept5,26.53782564
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Aug23,43.22567624
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Aug14,38.71921182
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Aug30,36.97070048
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Aug20,30.31056226
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Sept3,33.13471684
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Aug22,37.45495503
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Aug26,47.29654868
2027,2027 and 2028,NC352,Ames 27172,No Nitrogen,Aug16,36.07786065
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Aug22,64.76286895
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Aug12,76.77467699
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Aug23,72.9572748
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Aug16,66.76480878
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Aug26,73.92995638
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Sept5,39.17688387
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Sept1,68.15171361
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Aug14,77.4405424
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Sept3,45.45976127
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,July6,36.42611173
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Aug20,63.10891171
2029,2029 and 2030,SG18,PI 686066,No Nitrogen,Aug30,67.95067782
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Aug23,78.89716573
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Sept1,71.32396223
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Aug22,73.25394784
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Sept5,61.8230691
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Sept3,64.43542632
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Aug20,74.45570311
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,July6,48.7486684
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Aug12,77.09621018
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Aug30,86.68607759
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Aug14,82.94136342
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Aug26,81.0003118
2031,2031 and 2032,Oh603,PI 573098,No Nitrogen,Aug16,72.66033221
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Aug23,40.42018785
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Aug12,27.41615386
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Sept3,35.56513343
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Sept1,29.35145662
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Aug30,36.9550023
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Aug14,22.71889401
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Sept5,25.3591546
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Aug20,27.49572972
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Aug22,32.36466977
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Aug16,32.01886344
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,Aug26,47.73700796
2033,2033 and 2034,NC372,Ames 27182,No Nitrogen,July6,34.18456584
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Sept3,36.85226907
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Aug14,41.4783622
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Aug20,43.92648768
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Aug23,54.75000654
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Aug30,46.57349924
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Sept1,39.69532151
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,July6,34.31190388
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Aug12,42.8379391
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Aug26,51.4126483
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Sept5,28.24903315
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Aug22,42.35089992
2035,2035 and 2036,W401,Ames 27194,No Nitrogen,Aug16,40.27875345
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Aug12,76.816004
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Aug26,78.53525339
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Aug30,87.02059825
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Aug22,69.89156654
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Aug14,74.7746173
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Aug20,71.6703981
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Aug16,70.22935587
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,July6,36.18283166
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Sept3,62.91963449
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Sept1,73.51436442
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Aug23,80.27823149
2039,2039 and 2040,SA24,PI 686065,No Nitrogen,Sept5,68.02827653
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Aug30,66.09156522
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Sept5,46.77710527
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Aug12,73.73918572
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Aug20,71.38446703
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Aug23,78.49088198
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Sept1,63.5115726
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Aug14,75.56014619
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Sept3,41.87430906
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Aug22,67.14833997
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Aug26,77.36553883
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,Aug16,74.08264648
2041,2041 and 2042,Pa875,Ames 27185,No Nitrogen,July6,45.2570296
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Aug14,56.20742624
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Aug22,47.04827258
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Aug12,54.55755126
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Sept1,43.08519763
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Aug26,54.43229187
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Sept5,36.74899516
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Aug20,49.76359294
2043,2043 and 2044,A554,PI 587138,No Nitrogen,July6,35.26322309
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Aug30,47.32290028
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Aug16,46.39929472
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Aug23,57.89076312
2043,2043 and 2044,A554,PI 587138,No Nitrogen,Sept3,30.83164243
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Aug23,30.04929975
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Aug12,29.6618906
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Sept3,21.0486839
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Aug20,24.65622863
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Sept1,21.28141219
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Aug30,25.70015736
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Sept5,27.60181323
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Aug22,27.95864489
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,July6,16.26854949
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Aug14,30.18645055
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Aug16,21.35150642
2045,2045 and 2046,A659,NSL 81599,No Nitrogen,Aug26,36.39646785
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Aug23,71.41287325
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Sept5,67.9034633
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Aug30,69.28950801
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Sept1,66.30204812
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Aug14,69.80295567
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Aug22,61.12541627
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Aug26,66.63740362
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Aug12,65.25488771
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Aug20,61.25951702
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Sept3,56.9936049
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,July6,27.72154094
2047,2047 and 2048,A239,Ames 23405,No Nitrogen,Aug16,57.74982158
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Aug23,25.14287209
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Aug16,17.02187207
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Sept1,26.20779894
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Aug26,25.16521007
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Aug14,21.57264686
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Sept5,15.50252702
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Aug22,19.77551572
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Aug30,21.3483986
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Aug20,17.85817071
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,July6,13.08262108
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Aug12,20.00454143
2049,2049 and 2050,A556,Ames 23450,No Nitrogen,Sept3,21.4013238
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Aug26,26.00647218
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Aug12,12.94716047
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Aug22,15.32554453
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Aug30,21.66310966
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Aug14,15.11520737
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Aug20,10.77380797
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Sept1,31.44498599
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Aug16,11.80420089
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Sept3,27.19917158
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Sept5,21.68711312
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,July6,31.2582683
2051,2051 and 2052,C49A,Ames 27067,No Nitrogen,Aug23,24.70818211
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,July6,29.35216153
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Aug12,14.98717046
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Aug16,13.52402009
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Sept5,22.79379045
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Aug20,24.53400711
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Aug14,11.87615869
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Sept3,31.94721596
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Sept1,35.39759903
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Aug23,27.20419216
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Aug26,27.4044385
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Aug22,19.55513309
2053,2053 and 2054,A641,Ames 19311,No Nitrogen,Aug30,26.03654685
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Aug30,44.74578298
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Aug16,43.66885434
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Sept3,29.83893312
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Sept1,54.28645429
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Aug20,54.01032342
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,July6,36.94834634
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Aug26,50.41003581
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Sept5,18.65180002
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Aug12,48.07375281
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Aug23,55.39811697
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Aug22,47.02255585
2055,2055 and 2056,CM174,Ames 19316,No Nitrogen,Aug14,41.91641506
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Aug23,26.40470646
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Aug20,26.01673725
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Aug22,16.48605274
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Sept5,4.26825077
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Sept1,14.39301439
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Aug12,24.12770499
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Aug16,18.06160003
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Sept3,8.276962259
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Aug26,23.98308394
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Aug14,13.34816463
2057,2057 and 2058,F7,PI 257507,No Nitrogen,July6,25.91155704
2057,2057 and 2058,F7,PI 257507,No Nitrogen,Aug30,8.393291646
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Aug16,53.27437343
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Aug23,61.51367797
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Aug20,62.46752907
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Aug22,54.70339493
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Sept3,47.64500917
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Sept1,60.93233366
2059,2059 and 2060,I29,PI 686057,No Nitrogen,July6,29.56620835
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Aug30,57.85413404
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Aug26,60.92777981
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Aug12,60.19482731
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Sept5,45.41356593
2059,2059 and 2060,I29,PI 686057,No Nitrogen,Aug14,56.31283437
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Aug30,48.47335235
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Sept1,57.21147539
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Aug26,58.1279118
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Sept5,36.81013556
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Aug23,53.92958994
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Sept3,46.45247058
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,July6,20.80317106
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Aug14,38.14502887
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Aug12,43.96603011
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Aug22,46.68140225
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Aug16,40.29274709
2061,2061 and 2062,CO125,Ames 27106,No Nitrogen,Aug20,54.25327139
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Aug16,36.5592421
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,July6,21.38981791
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Aug23,55.03780644
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Aug30,54.58592322
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Aug20,55.39849073
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Sept5,42.30300311
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Aug22,44.30211626
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Sept1,64.64041009
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Aug12,39.06083244
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Sept3,54.42073299
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Aug14,34.22797818
2063,2063 and 2064,CM7,Ames 27070,No Nitrogen,Aug26,57.56969398
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Aug23,44.68037392
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Aug20,45.9519262
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Aug14,34.31484718
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Aug16,33.12492129
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Aug22,38.26161403
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Aug12,37.96634801
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Sept5,22.96346409
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Aug26,49.08774978
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,July6,42.10776663
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Aug30,41.73621831
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Sept3,34.07956788
2065,2065 and 2066,MS153,Ames 24734,No Nitrogen,Sept1,29.34641116
2067,2067 and 2068,CMV3,Ames 27104,No Nitrogen,Aug23,55.27888558
2067,2067 and 2068,CMV3,Ames 27104,No Nitrogen,Sept1,26.04768968
